"id","name","data","created_at","updated_at"
"136","TURKMENISTAN","355","2015-03-14 00:00:00","2015-03-14 00:00:00"
"137","UZBEKISTAN","356","2015-03-14 00:00:00","2015-03-14 00:00:00"
"138","TERRITORIOS AUTONOMOS PALESTINOS","357","2015-03-14 00:00:00","2015-03-14 00:00:00"
"139","MYANMAR","358","2015-03-14 00:00:00","2015-03-14 00:00:00"
"140","ASIA","399","2015-03-14 00:00:00","2015-03-14 00:00:00"
"141","ALBANIA","401","2015-03-14 00:00:00","2015-03-14 00:00:00"
"142","ANDORRA","404","2015-03-14 00:00:00","2015-03-14 00:00:00"
"143","AUSTRIA","405","2015-03-14 00:00:00","2015-03-14 00:00:00"
"144","BELGICA","406","2015-03-14 00:00:00","2015-03-14 00:00:00"
"145","BULGARIA","407","2015-03-14 00:00:00","2015-03-14 00:00:00"
"146","DINAMARCA","409","2015-03-14 00:00:00","2015-03-14 00:00:00"
"147","ESPAÑA","410","2015-03-14 00:00:00","2015-03-14 00:00:00"
"148","ESPAÃ‘A","410","2015-03-14 00:00:00","2015-03-14 00:00:00"
"149","FINLANDIA","411","2015-03-14 00:00:00","2015-03-14 00:00:00"
"150","FRANCIA","412","2015-03-14 00:00:00","2015-03-14 00:00:00"
"151","GRECIA","413","2015-03-14 00:00:00","2015-03-14 00:00:00"
"152","HUNGRIA","414","2015-03-14 00:00:00","2015-03-14 00:00:00"
"153","IRLANDA","415","2015-03-14 00:00:00","2015-03-14 00:00:00"
"154","ISLANDIA","416","2015-03-14 00:00:00","2015-03-14 00:00:00"
"155","ITALIA","417","2015-03-14 00:00:00","2015-03-14 00:00:00"
"156","LIECHTENSTEIN","418","2015-03-14 00:00:00","2015-03-14 00:00:00"
"157","LUXEMBURGO","419","2015-03-14 00:00:00","2015-03-14 00:00:00"
"158","MALTA","420","2015-03-14 00:00:00","2015-03-14 00:00:00"
"159","MONACO","421","2015-03-14 00:00:00","2015-03-14 00:00:00"
"160","NORUEGA","422","2015-03-14 00:00:00","2015-03-14 00:00:00"
"161","PAISES BAJOS","423","2015-03-14 00:00:00","2015-03-14 00:00:00"
"162","POLONIA","424","2015-03-14 00:00:00","2015-03-14 00:00:00"
"163","PORTUGAL","425","2015-03-14 00:00:00","2015-03-14 00:00:00"
"164","REINO UNIDO","426","2015-03-14 00:00:00","2015-03-14 00:00:00"
"165","RUMANIA","427","2015-03-14 00:00:00","2015-03-14 00:00:00"
"166","SAN MARINO","428","2015-03-14 00:00:00","2015-03-14 00:00:00"
"167","SUECIA","429","2015-03-14 00:00:00","2015-03-14 00:00:00"
"168","SUIZA","430","2015-03-14 00:00:00","2015-03-14 00:00:00"
"169","VATICANO","431","2015-03-14 00:00:00","2015-03-14 00:00:00"
"170","CHIPRE","435","2015-03-14 00:00:00","2015-03-14 00:00:00"
"171","TURQUIA","436","2015-03-14 00:00:00","2015-03-14 00:00:00"
"172","ALEMANIA","438","2015-03-14 00:00:00","2015-03-14 00:00:00"
"173","BIELORUS","439","2015-03-14 00:00:00","2015-03-14 00:00:00"
"174","ESTONIA","440","2015-03-14 00:00:00","2015-03-14 00:00:00"
"175","LETONIA","441","2015-03-14 00:00:00","2015-03-14 00:00:00"
"176","LITUANIA","442","2015-03-14 00:00:00","2015-03-14 00:00:00"
"177","MOLDOVA","443","2015-03-14 00:00:00","2015-03-14 00:00:00"
"178","RUSIA","444","2015-03-14 00:00:00","2015-03-14 00:00:00"
"179","UCRANIA","445","2015-03-14 00:00:00","2015-03-14 00:00:00"
"180","BOSNIA HERZEGOVINA","446","2015-03-14 00:00:00","2015-03-14 00:00:00"
"181","CROACIA","447","2015-03-14 00:00:00","2015-03-14 00:00:00"
"182","ESLOVAQUIA","448","2015-03-14 00:00:00","2015-03-14 00:00:00"
"183","ESLOVENIA","449","2015-03-14 00:00:00","2015-03-14 00:00:00"
